iter	Passed	Remaining
399	55878	83818
400	56022	83684
401	56173	83561
402	56340	83462
403	56484	83328
404	56635	83205
405	56768	83055
406	56918	82930
407	57086	82830
408	57240	82712
409	57382	82574
410	57526	82440
411	57674	82312
412	57834	82200
413	57956	82035
414	58090	81887
415	58235	81753
416	58354	81584
417	58500	81452
418	58660	81340
419	58839	81254
420	58997	81138
421	59149	81014
422	59280	80862
423	59434	80740
424	59559	80580
425	59700	80441
426	59863	80331
427	60029	80226
428	60170	80086
429	60332	79975
430	60457	79815
431	60562	79628
432	60706	79493
433	60832	79335
434	61001	79232
435	61149	79102
436	61294	78967
437	61408	78794
438	61562	78670
439	61693	78518
440	61839	78386
441	61971	78235
442	62106	78089
443	62256	77960
444	62418	77848
445	62577	77730
446	62715	77587
447	62854	77445
448	63000	77312
449	63138	77168
450	63271	77019
451	63387	76850
452	63557	76745
453	63723	76636
454	63893	76532
455	63991	76340
456	64127	76195
457	64290	76082
458	64451	75966
459	64596	75830
460	64737	75690
461	64871	75543
462	65042	75438
463	65189	75304
464	65337	75172
465	65465	75018
466	65612	74884
467	65753	74745
468	65877	74586
469	66006	74432
470	66153	74299
471	66312	74179
472	66477	74066
473	66628	73938
474	66780	73810
475	66945	73696
476	67110	73582
477	67268	73460
478	67435	73348
479	67570	73201
480	67722	73072
481	67839	72906
482	67984	72769
483	68126	72630
484	68276	72500
485	68416	72358
486	68555	72215
487	68692	72070
488	68839	71936
489	68993	71809
490	69163	71699
491	69305	71558
492	69474	71447
493	69643	71335
494	69794	71204
495	69935	71063
496	70097	70944
497	70291	70856
498	70443	70725
499	70625	70625
500	70773	70491
501	70932	70367
502	71050	70202
503	71200	70070
504	71357	69944
505	71510	69815
506	71635	69657
507	71794	69533
508	71937	69393
509	72167	69337
510	72333	69218
511	72454	69057
512	72588	68909
513	72726	68765
514	72893	68646
515	73046	68516
516	73223	68407
517	73359	68261
518	73519	68136
519	73661	67995
520	73826	67875
521	73960	67725
522	74153	67631
523	74311	67504
524	74479	67386
525	74604	67229
526	74758	67098
527	74936	66988
528	75055	66826
529	75211	66696
530	75365	66566
531	75530	66443
532	75672	66302
533	75822	66167
534	75980	66039
535	76169	65937
536	76293	65779
537	76454	65654
538	76621	65533
539	76774	65400
540	76929	65269
541	77087	65140
542	77239	65006
543	77370	64854
544	77530	64727
545	77710	64616
546	77860	64480
547	78018	64351
548	78195	64237
549	78373	64123
550	78556	64014
551	78748	63911
552	78946	63813
553	79133	63706
554	79351	63624
555	79579	63549
556	79856	63512
557	80093	63443
558	80339	63380
559	80530	63273
560	80748	63187
561	81000	63128
562	81212	63037
563	81402	62927
564	81696	62899
565	81950	62838
566	82166	62748
567	82471	62724
568	82747	62678
569	83014	62624
570	83247	62545
571	83477	62462
572	83689	62365
573	83915	62278
574	84215	62245
575	84453	62167
576	84681	62080
577	84952	62024
578	85213	61960
579	85431	61863
580	85631	61755
581	85880	61680
582	86086	61574
583	86304	61477
584	86496	61361
585	86702	61253
586	86930	61162
587	87128	61049
588	87342	60947
589	87558	60845
590	87787	60753
591	88017	60660
592	88194	60531
593	88422	60437
594	88604	60310
595	88818	60205
596	89053	60114
597	89274	60014
598	89483	59904
599	89661	59774
600	89918	59696
601	90140	59594
602	90351	59485
603	90534	59356
604	90718	59229
605	90925	59116
606	91147	59013
607	91362	58904
608	91562	58786
609	91807	58696
610	91997	58571
611	92221	58467
612	92463	58374
613	92696	58275
614	92838	58118
615	93119	58048
616	93332	57935
617	93482	57783
618	93629	57629
619	93814	57499
620	94030	57387
621	94237	57270
622	94445	57152
623	94635	57023
624	94773	56864
625	94941	56722
626	95126	56590
627	95360	56487
628	95552	56359
629	95781	56252
630	95968	56121
631	96186	56007
632	96367	55871
633	96582	55755
634	96830	55658
635	97014	55523
636	97210	55396
637	97406	55268
638	97597	55137
639	97807	55016
640	98051	54915
641	98246	54785
642	98437	54653
643	98657	54537
644	98841	54401
645	99072	54290
646	99307	54181
647	99514	54057
648	99719	53931
649	99927	53807
650	100130	53679
651	100337	53554
652	100561	53437
653	100747	53300
654	100946	53170
655	101160	53047
656	101389	52932
657	101586	52800
658	101783	52668
659	101962	52526
660	102194	52411
661	102406	52286
662	102624	52163
663	102855	52047
664	103076	51925
665	103261	51785
666	103483	51664
667	103659	51519
668	103820	51367
669	104021	51234
670	104165	51073
671	104329	50922
672	104489	50769
673	104667	50625
674	104837	50477
675	105016	50333
676	105206	50194
677	105371	50043
678	105549	49899
679	105719	49750
680	105884	49599
681	106075	49460
682	106237	49307
683	106397	49154
684	106545	48995
685	106683	48831
686	106864	48688
687	107040	48541
688	107173	48376
689	107348	48229
690	107487	48065
691	107693	47933
692	107889	47795
693	108084	47656
694	108262	47511
695	108439	47364
696	108612	47216
697	108772	47061
698	108927	46905
699	109093	46754
700	109223	46587
701	109359	46423
702	109476	46251
703	109653	46104
704	109804	45946
705	110002	45808
706	110169	45657
707	110578	45605
708	110832	45489
709	111028	45349
710	111190	45195
711	111370	45048
712	111493	44878
713	111664	44728
714	111789	44559
715	111917	44391
716	112092	44242
717	112208	44070
718	112384	43922
719	112551	43770
720	112698	43610
721	112839	43447
722	112974	43283
723	113117	43122
724	113297	42974
725	113465	42822
726	113606	42661
727	113778	42510
728	113944	42357
729	114113	42206
730	114271	42050
731	114389	41880
732	114516	41713
733	114682	41560
734	114830	41401
735	114958	41235
736	115117	41079
737	115281	40926
738	115433	40768
739	115579	40608
740	115726	40449
741	115864	40287
742	116020	40130
743	116184	39977
744	116346	39823
745	116480	39659
746	116625	39499
747	116776	39341
748	116933	39185
749	117077	39025
750	117228	38868
751	117388	38713
752	117522	38549
753	117673	38392
754	117784	38221
755	117897	38051
756	118046	37893
757	118190	37733
758	118343	37576
759	118532	37431
760	118707	37281
761	118885	37132
762	119033	36973
763	119185	36816
764	119334	36658
765	119486	36501
766	119647	36346
767	119815	36194
768	119989	36043
769	120131	35883
770	120255	35717
771	120430	35567
772	120551	35401
773	120709	35245
774	120860	35088
775	121029	34936
776	121174	34777
777	121311	34615
778	121459	34457
779	121605	34298
780	121756	34141
781	121902	33982
782	122032	33820
783	122222	33673
784	122354	33511
785	122503	33353
786	122629	33189
787	122775	33030
788	122962	32883
789	123141	32733
790	123287	32575
791	123438	32418
792	123585	32259
793	123730	32101
794	123850	31936
795	124003	31779
796	124152	31622
797	124251	31452
798	124365	31285
799	124491	31122
800	124636	30964
801	124746	30797
802	124874	30635
803	125026	30479
804	125190	30325
805	125338	30168
806	125498	30013
807	125664	29860
808	125816	29704
809	125970	29548
810	126124	29392
811	126280	29237
812	126455	29086
813	126635	28936
814	126807	28784
815	126962	28628
816	127101	28469
817	127233	28308
818	127367	28148
819	127518	27991
820	127654	27832
821	127809	27676
822	127960	27520
823	128107	27362
824	128275	27210
825	128451	27058
826	128585	26898
827	128762	26747
828	128911	26590
829	129048	26431
830	129216	26278
831	129341	26117
832	129493	25960
833	129644	25804
834	129798	25648
835	129934	25489
836	130073	25331
837	130206	25171
838	130369	25017
839	130527	24862
840	130667	24704
841	130804	24545
842	130937	24385
843	131066	24225
844	131247	24074
845	131396	23918
846	131544	23761
847	131708	23608
848	131878	23455
849	132020	23297
850	132165	23140
851	132258	22974
852	132385	22814
853	132500	22652
854	132661	22498
855	132809	22341
856	132950	22184
857	133102	22028
858	133261	21874
859	133383	21713
860	133547	21559
861	133673	21400
862	133817	21243
863	133980	21089
864	134103	20929
865	134251	20773
866	134383	20614
867	134530	20458
868	134711	20307
869	134888	20155
870	135077	20005
871	135227	19849
872	135383	19694
873	135515	19536
874	135643	19377
875	135778	19219
876	135926	19063
877	136067	18906
878	136254	18756
879	136402	18600
880	136598	18450
