iter	RMSE
291	25867.66519
292	25866.09975
293	25862.43568
294	25859.85594
295	25859.45023
296	25858.37803
297	25855.65725
298	25851.51701
299	25850.41273
300	25849.42448
301	25847.1463
302	25847.03422
303	25843.3423
304	25840.88131
305	25838.41011
306	25836.91041
307	25835.85923
308	25832.37147
309	25828.17825
310	25826.37751
311	25821.73412
312	25819.10849
313	25818.14551
314	25814.28148
315	25812.5361
316	25810.03195
317	25808.88737
318	25807.76352
319	25805.89462
320	25798.04491
321	25794.80154
322	25792.97862
323	25792.22147
324	25788.90575
325	25786.9076
326	25784.23569
327	25783.07988
328	25782.13053
329	25779.77745
330	25778.05644
331	25772.97326
332	25769.34911
333	25768.39991
334	25766.45967
335	25765.93606
336	25764.36519
337	25763.39799
338	25760.03286
339	25757.94219
340	25755.60125
341	25751.23352
342	25746.90357
343	25744.65837
344	25738.48704
345	25736.79847
346	25733.37306
347	25732.08097
348	25728.97267
349	25726.0378
350	25721.26477
351	25718.94298
352	25715.18813
353	25709.0899
354	25708.00966
355	25706.42401
356	25701.88789
357	25698.64135
358	25695.87472
359	25693.59641
360	25692.40617
361	25691.97368
362	25689.72788
363	25686.51003
364	25683.29306
365	25682.86826
366	25681.59312
367	25680.12078
368	25677.6228
369	25677.30372
370	25672.883
371	25670.9147
372	25667.92853
373	25666.50135
374	25665.67385
375	25662.37623
376	25660.48439
377	25658.60973
378	25655.649
379	25653.82823
380	25652.27464
381	25649.40708
382	25647.54973
383	25646.41115
384	25645.83372
385	25643.67156
386	25639.12514
387	25638.1839
388	25637.20525
389	25635.92559
390	25634.12083
391	25632.75184
392	25629.08862
393	25628.35202
394	25627.1163
395	25624.36796
396	25622.99408
397	25620.2395
398	25620.12048
399	25617.28421
400	25615.69884
401	25613.04777
402	25610.19674
403	25606.58348
404	25604.66738
405	25601.59484
406	25600.62174
407	25598.57501
408	25592.85636
409	25590.15865
410	25587.69971
411	25585.84843
412	25581.85717
413	25580.8667
414	25579.85649
415	25577.65598
416	25574.01122
417	25571.42396
418	25568.39979
419	25566.22206
420	25564.90212
421	25562.77658
422	25561.51159
423	25560.49651
424	25559.77263
425	25558.41973
426	25554.89861
427	25551.67506
428	25550.94617
429	25549.29726
430	25548.82048
431	25548.31367
432	25547.05824
433	25545.30579
434	25543.96071
435	25543.55412
436	25540.53095
437	25540.46814
438	25537.03243
439	25534.81044
440	25533.81792
441	25530.65194
442	25528.20836
443	25526.09977
444	25521.58139
445	25520.68903
446	25519.68838
447	25518.10426
448	25516.73937
449	25512.76323
450	25512.45349
451	25511.49014
452	25509.50326
453	25507.00987
454	25506.01231
455	25505.70015
456	25504.31056
457	25503.0774
458	25500.9529
459	25498.45925
460	25495.75492
461	25495.1456
462	25493.38582
463	25492.8682
464	25490.56989
465	25488.84946
466	25487.27167
467	25486.01124
468	25484.64256
469	25484.60147
470	25483.80425
471	25481.1393
472	25479.74398
473	25479.15019
474	25477.77018
475	25476.42657
476	25473.34252
477	25472.1573
478	25469.56251
479	25467.08973
480	25465.32356
481	25465.30149
482	25464.208
483	25461.83204
484	25459.87532
485	25458.12531
486	25457.26503
487	25456.48778
488	25454.91488
489	25452.45438
490	25450.84797
491	25450.13399
492	25447.59802
493	25444.79606
494	25442.98477
495	25439.95085
496	25438.73897
497	25437.39103
498	25436.30079
499	25435.59698
500	25434.11695
501	25432.67843
502	25431.98254
503	25428.17167
504	25424.94494
505	25422.52896
506	25421.91099
507	25421.11817
508	25420.27212
509	25418.87183
510	25418.62887
511	25417.46724
512	25415.59763
513	25414.18654
514	25412.24441
515	25411.18207
516	25408.98672
517	25406.97608
518	25406.00346
519	25405.78126
520	25403.1768
521	25402.20145
522	25400.42122
523	25398.37578
524	25396.09499
525	25394.83578
526	25393.43036
527	25391.5711
528	25390.15799
529	25383.47206
530	25382.55121
531	25382.05058
532	25378.61142
533	25378.11687
534	25376.85007
535	25373.22699
536	25372.30491
537	25371.34815
538	25370.11598
539	25366.77607
540	25365.63836
541	25363.92384
542	25360.87006
543	25360.46457
544	25358.65359
545	25357.48701
546	25356.83479
547	25353.87971
548	25350.61781
549	25348.15737
550	25347.07842
551	25346.09415
552	25344.3225
553	25343.21974
554	25342.19047
555	25340.95176
556	25338.4793
557	25336.39955
558	25333.33146
559	25332.48072
560	25331.664
561	25330.30476
562	25330.0082
563	25329.27802
564	25326.99551
565	25325.70721
566	25325.30319
567	25323.44606
568	25321.79969
569	25320.03023
570	25317.28659
571	25316.77252
572	25315.73811
573	25314.28105
574	25312.90528
575	25311.74978
576	25310.80449
577	25309.63453
578	25308.40062
579	25307.15922
580	25306.15279
581	25304.55298
582	25303.63157
583	25301.94862
584	25300.11989
585	25298.68318
586	25296.45246
587	25295.46678
588	25294.59361
589	25291.88991
590	25289.45195
591	25288.72747
592	25288.3477
593	25285.90508
594	25285.36705
595	25284.61912
596	25283.53713
597	25281.42939
598	25280.18428
599	25280.13118
600	25277.77049
601	25276.87062
602	25276.38368
603	25275.46848
604	25275.09913
605	25273.71474
606	25271.46111
607	25269.65878
608	25268.25946
609	25267.03463
610	25265.87242
611	25264.32063
612	25262.96907
613	25262.18683
614	25262.00477
615	25260.06236
616	25258.85058
617	25256.97672
618	25253.12018
619	25252.13514
620	25251.65654
621	25251.00354
622	25250.05999
623	25248.63513
624	25247.59718
625	25246.92907
626	25245.61274
627	25243.89915
628	25242.91524
629	25241.88201
630	25241.42395
631	25240.17008
632	25239.62603
633	25236.36165
634	25233.26494
635	25231.74702
636	25229.93052
637	25228.38667
638	25227.87884
639	25225.71029
640	25224.92595
641	25221.78082
642	25220.27137
643	25218.93841
644	25216.72543
645	25214.35327
646	25212.41399
647	25210.9358
648	25210.09767
649	25208.63969
650	25206.90915
651	25205.60464
652	25203.83213
653	25203.58909
654	25202.39056
655	25201.19269
656	25198.0047
657	25196.93261
658	25195.45541
659	25194.35318
660	25192.55662
661	25190.59415
662	25188.60502
663	25187.13522
664	25184.91009
665	25183.16083
666	25182.59707
667	25181.9073
668	25181.29898
669	25179.36402
670	25179.01234
671	25178.21976
672	25175.39739
673	25174.2837
674	25172.87495
675	25171.96255
676	25169.92267
677	25169.53915
678	25168.22288
679	25165.52753
680	25163.31999
681	25161.19992
682	25160.70613
683	25160.12919
684	25159.38767
685	25159.13032
686	25158.13885
687	25157.21432
688	25156.15199
689	25154.5101
690	25153.81888
691	25151.54353
692	25149.82762
693	25148.42179
694	25147.4343
695	25144.37722
696	25143.19683
697	25141.99401
698	25141.16433
699	25139.35353
700	25138.57378
701	25137.61153
702	25136.95646
703	25134.60375
704	25133.38417
705	25132.15951
706	25131.37131
707	25130.61496
708	25129.21052
709	25128.9137
710	25127.66534
711	25126.44446
712	25125.92151
713	25125.35526
714	25125.06214
715	25122.75107
716	25119.56638
717	25118.90308
718	25117.09098
719	25116.8595
720	25116.22865
721	25114.68588
722	25114.26817
723	25112.01456
724	25110.16154
725	25108.86851
726	25107.65283
727	25106.07338
728	25104.56887
729	25102.81413
730	25101.2274
731	25101.10114
732	25099.45074
733	25098.38406
734	25097.75342
735	25096.23459
736	25095.21881
737	25093.4
738	25090.65917
739	25089.64697
740	25088.61832
741	25086.18031
742	25084.6984
743	25084.01364
744	25082.03327
745	25081.00966
746	25079.8799
747	25079.20666
748	25076.36167
749	25075.32614
750	25074.57435
751	25073.52988
752	25072.18778
753	25071.3461
754	25070.67048
755	25070.52485
756	25069.30245
757	25067.83924
758	25065.65046
759	25063.22059
760	25061.57781
761	25060.40104
762	25060.2523
763	25059.26494
764	25057.77252
765	25056.24862
766	25055.64439
767	25053.86226
768	25051.85478
769	25050.85629
770	25050.49423
771	25048.78848
772	25048.70028
773	25047.113
774	25046.75962
775	25046.16433
776	25045.1737
777	25044.66415
778	25043.81642
779	25042.84299
780	25041.27335
781	25040.73745
782	25039.76158
783	25038.64518
784	25037.5357
785	25037.25648
786	25036.58631
787	25036.36915
788	25035.67377
789	25033.91968
790	25033.5022
791	25032.95432
792	25031.24117
793	25030.18712
794	25029.35041
795	25028.41685
796	25027.84744
797	25027.06245
798	25026.03248
799	25025.2137
800	25024.32481
801	25023.9702
802	25022.94715
803	25021.16633
804	25018.73844
805	25017.37707
806	25016.55411
807	25016.16306
808	25014.91522
809	25014.1014
810	25013.33632
811	25012.6883
812	25011.26161
813	25010.58164
814	25009.18118
815	25008.8372
816	25008.27227
817	25007.59106
818	25007.08952
819	25006.01197
820	25005.80329
821	25004.97505
822	25004.61714
823	25003.48688
824	25002.41068
825	25000.30339
826	24999.69261
827	24998.13307
828	24996.91695
829	24996.75449
830	24995.8472
831	24995.42116
832	24994.86675
833	24994.28989
834	24991.05887
835	24990.55374
836	24988.47884
837	24987.56506
838	24986.95215
839	24985.21722
840	24984.47528
841	24984.07686
842	24983.7102
843	24983.4543
844	24982.16375
845	24981.5941
846	24980.29734
847	24978.55994
848	24976.88039
849	24976.47295
850	24975.78456
851	24975.64572
852	24974.28973
853	24973.90525
854	24972.43972
855	24971.84374
856	24971.20372
857	24970.19215
858	24969.86599
859	24969.56412
860	24968.09646
861	24967.94133
862	24966.43286
863	24965.8413
864	24965.46116
865	24963.55186
866	24962.5972
867	24961.61731
868	24959.31592
869	24959.17257
870	24958.45121
871	24957.78515
872	24957.26812
873	24956.51705
874	24956.29641
875	24954.93191
876	24954.37738
877	24953.7477
878	24952.18282
879	24952.06087
880	24949.7514
881	24949.11895
882	24948.55788
883	24946.59537
884	24945.40142
885	24944.89581
886	24943.69452
887	24942.63743
888	24941.52664
889	24940.68312
890	24939.96641
891	24939.63996
892	24938.4972
893	24937.26242
894	24937.13115
895	24935.37067
896	24934.70292
897	24934.53109
898	24933.3608
899	24932.26125
900	24932.00458
901	24930.9341
902	24930.3312
903	24929.75903
904	24929.14162
905	24928.54457
906	24928.06382
907	24927.6666
908	24926.76959
909	24925.22902
910	24923.99274
911	24923.1251
912	24922.61684
913	24922.39211
914	24921.65669
915	24921.44364
916	24920.619
917	24920.12792
918	24919.31548
919	24919.24324
920	24918.48623
921	24917.61429
922	24916.90449
923	24916.31412
924	24915.33628
925	24915.19934
926	24913.68331
927	24913.49485
928	24912.66986
929	24911.63019
930	24910.66297
931	24910.34496
932	24909.61241
933	24907.24604
934	24906.69145
935	24906.16445
936	24905.37651
937	24905.25002
938	24901.91472
939	24899.8815
940	24899.51164
941	24898.48995
942	24897.74602
943	24896.77272
944	24895.524
945	24893.65186
946	24893.44593
947	24893.32806
948	24891.37931
949	24890.79187
950	24889.42586
951	24888.88627
952	24888.64566
953	24887.22708
954	24886.52503
955	24885.89451
956	24884.8809
957	24884.59971
958	24883.13265
959	24881.89166
960	24881.29209
961	24880.51304
962	24879.15765
963	24878.00028
964	24877.41156
965	24875.35428
966	24874.8674
967	24873.8101
968	24873.64584
969	24872.71654
970	24872.51308
971	24872.31967
972	24871.62181
973	24871.28001
974	24870.35132
975	24869.38115
976	24868.04735
977	24867.31111
978	24865.96042
979	24865.35394
980	24864.78615
981	24863.78164
982	24863.5674
983	24863.45709
984	24862.05228
985	24860.46319
986	24857.67664
987	24857.44744
988	24856.33136
989	24855.83178
990	24855.74079
991	24855.53975
992	24855.46798
993	24853.26773
994	24852.84801
995	24850.81299
996	24849.53224
997	24849.42675
998	24847.51039
999	24847.02245
